mz,intensity
50.01,5
50.01,5
51.01,28
51.01,29
51.02,29
51.02,15
51.02,9
51.02,6
52.02,8
52.02,8
53.02,276
53.03,15
53.03,6
53.03,6
54.00,6
54.00,7
54.00,8
54.00,8
54.00,6
54.01,7
54.02,5
54.03,5
54.87,7
54.87,8
54.87,7
55.03,753
55.05,21
55.05,15
55.05,9
55.05,6
55.06,6
55.06,6
55.93,6
55.94,6
55.94,6
64.01,25
64.01,29
64.01,11
64.02,6
64.82,22
64.82,44
64.82,33
64.82,14
64.83,8
64.84,5
64.86,7
64.86,5
65.02,3959
65.03,41
65.04,24
65.04,18
65.04,7
65.04,12
65.05,8
65.05,5
65.05,8
65.05,5
65.06,9
66.02,171
66.03,91
66.04,5
66.83,19
66.83,13
67.03,1481
67.05,13
67.05,10
67.05,12
67.06,5
68.03,6
68.04,7
68.04,10
68.04,10
71.93,5
72.94,21
72.94,11
72.94,6
76.00,30
76.01,28
76.01,15
76.01,7
76.78,6
76.78,6
77.02,485
82.04,200
82.04,225
82.06,5
91.01,6
91.02,16
91.02,15
91.74,8
91.74,26
91.75,12
91.75,10
91.75,10
91.79,7
92.03,3095
92.05,13
92.05,7
92.06,5
93.75,10
93.76,6
94.04,1019
94.06,5
94.07,5
108.71,5
109.01,6
109.05,373
109.06,24
109.07,12
118.66,34
118.67,60
118.67,60
118.68,29
118.68,12
118.68,9
118.69,8
118.73,5
118.73,10
118.73,12
118.74,12
118.74,12
118.74,6
118.75,9
118.75,6
119.02,5
119.04,6005
119.06,9
119.06,9
119.06,5
119.58,5
119.61,5
119.64,5
119.67,6
119.69,6
119.69,5
119.74,5
119.85,5
119.89,5
120.04,5
120.19,5
120.39,8
120.70,5
135.64,122
135.65,94
135.65,30
135.66,20
135.67,11
135.67,6
135.71,16
135.71,16
135.72,14
135.72,11
135.72,9
135.73,8
135.73,6
135.74,6
136.01,5
136.06,6948
136.28,13
136.37,9
136.39,5
136.44,5
136.45,7
136.45,6
136.45,5
136.53,5
136.54,7
136.55,49
136.55,13
136.56,17
136.56,32
136.57,17
136.57,7
136.58,7
136.62,6
136.63,5
136.63,6
136.64,13
136.65,6
136.65,6
136.65,10
136.66,5
136.66,5
136.66,5
136.67,7
136.67,5
136.67,8
136.68,6
136.68,6
136.69,5
136.69,8
136.70,6
136.71,10
136.72,5
136.72,9
136.73,7
136.73,11
136.74,9
136.74,7
136.74,7
136.75,7
136.75,7
136.75,7
136.76,6
136.76,7
136.77,7
136.77,5
136.78,6
136.78,5
136.80,9
136.81,5
136.82,8
136.82,8
136.83,7
136.83,13
136.84,12
136.84,12
136.85,10
136.86,5
136.87,5
136.88,5
136.90,6
136.90,6
136.91,6
136.91,5
136.92,8
136.93,7
136.94,5
136.94,5
136.94,5
136.95,5
136.95,6
136.96,5
136.96,5
136.97,6
136.98,7
136.99,7
137.00,6
137.00,8
137.02,9
137.02,7
137.03,5
137.03,5
137.04,28
137.05,13
137.05,7
137.06,6
137.06,6
137.06,7
137.07,6
137.09,7
137.09,6
137.10,6
137.10,6
137.10,6
137.11,6
137.11,7
137.12,6
137.12,6
137.13,6
137.14,6
137.15,5
137.16,6
137.17,5
137.19,8
137.19,5
137.21,5
137.22,6
137.22,8
137.24,5
137.24,5
137.25,5
137.25,5
137.25,6
137.26,5
137.26,5
137.27,5
137.28,8
137.29,6
137.29,5
137.31,6
137.31,5
137.32,5
137.33,6
137.33,6
137.36,6
137.37,6
137.39,6
137.39,5
137.40,5
137.40,5
137.44,5
137.46,5
137.47,5
137.50,5
137.51,6
137.51,5
137.57,5
137.58,7
137.59,5
137.59,6
137.59,5
137.60,5
137.63,5
137.67,6
137.70,5
137.70,6
137.72,5
137.74,5
137.79,5
137.84,5
137.85,5
137.87,5
137.95,5
138.09,7
138.09,5
138.10,6
138.13,5
138.18,5
