Injection,File Text,Sample_Notes,MS method,LC method,Vial_Position,Injection volume,Sample_Code,Biological_Group
250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,,,,,,,Solvent Blank,Blanks
250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,,,,,,,Solvent Blank,Blanks
250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,,,,,,,Solvent Blank,Blanks
250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,,,,,,,UM2142,Squid Egg Clutch C1 10X dilution
250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,,,,,,,UM2142,Squid Egg Clutch C1 10X dilution
250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,,,,,,,UM2142,Squid Egg Clutch C1 10X dilution
250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,,,,,,,UM2142,Squid Egg Clutch C1 1mgmL
250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,,,,,,,UM2142,Squid Egg Clutch C1 1mgmL
250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,,,,,,,UM2142,Squid Egg Clutch C1 1mgmL
250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,,,,,,,UM2143,Squid Egg Clutch C5 10X dilution
250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,,,,,,,UM2143,Squid Egg Clutch C5 10X dilution
250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,,,,,,,UM2143,Squid Egg Clutch C5 10X dilution
250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,,,,,,,UM2143,Squid Egg Clutch C5 1mgmL
250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,,,,,,,UM2143,Squid Egg Clutch C5 1mgmL
250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,,,,,,,UM2143,Squid Egg Clutch C5 1mgmL
250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,,,,,,,UM2144,Squid Egg Clutch C9 10X dilution
250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,,,,,,,UM2144,Squid Egg Clutch C9 10X dilution
250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,,,,,,,UM2144,Squid Egg Clutch C9 10X dilution
250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,,,,,,,UM2144,Squid Egg Clutch C9 1mgmL
250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,,,,,,,UM2144,Squid Egg Clutch C9 1mgmL
250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958,,,,,,,UM2144,Squid Egg Clutch C9 1mgmL
