Injection,Sample_Code,Biological_Group
newJC1_Blank-expanded-gradient_MeanIntensity,Blank,Blank
newJC1_Coculture-1-mg_mL-expanded-gradient_MeanIntensity,Coculture,Coculture
newJC1_JC1-0-25-mg_mL-expanded-gradient_MeanIntensity,JC1,JC1
newJC1_JC1-1-mg_mL-expanded-gradient_MeanIntensity,JC1,JC1
newJC1_Media-1-mg_mL-expanded-gradient_MeanIntensity,Media,Media
newJC1_Media-0-25-mg_mL-expanded-gradient_MeanIntensity,Media,Media
newJC1_Coculture-0-25-mg_mL-expanded-gradient_MeanIntensity,Coculture,Coculture
X121523_Blank_expanded_gradient_73_1_6075,Blank,Blank
X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076,Coculture,Coculture
X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6077,JC1,JC1
X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078,JC1,JC1
X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079,Media,Media
X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6080,Media,Media
X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6081,Coculture,Coculture
X121523_Blank_expanded_gradient_73_1_6082,Blank,Blank
X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6083,Coculture,Coculture
X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084,Coculture,Coculture
X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6085,JC1,JC1
X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086,JC1,JC1
X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087,Media,Media
X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6088,Media,Media
X121523_Blank_expanded_gradient_73_1_6089,Blank,Blank
X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6090,JC1,JC1
X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091,Coculture,Coculture
X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092,JC1,JC1
X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093,Media,Media
X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6094,Coculture,Coculture
X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6095,Media,Media
